1  aardvark  story: [0, '0.001855288']  ask_hn: [0, '0.001697793']  show_hn: [1, '0.004709576']  poll: [0, '0.001912046']  
2  acceptable  story: [0, '0.001855288']  ask_hn: [1, '0.005093379']  show_hn: [0, '0.001569859']  poll: [0, '0.001912046']  
3  accused  story: [0, '0.001855288']  ask_hn: [1, '0.005093379']  show_hn: [0, '0.001569859']  poll: [0, '0.001912046']  
4  acquires  story: [1, '0.005565863']  ask_hn: [0, '0.001697793']  show_hn: [0, '0.001569859']  poll: [0, '0.001912046']  
5  acquisition  story: [1, '0.005565863']  ask_hn: [0, '0.001697793']  show_hn: [0, '0.001569859']  poll: [0, '0.001912046']  
6  advice  story: [0, '0.001855288']  ask_hn: [0, '0.001697793']  show_hn: [0, '0.001569859']  poll: [1, '0.005736138']  
7  age  story: [0, '0.001855288']  ask_hn: [0, '0.001697793']  show_hn: [0, '0.001569859']  poll: [1, '0.005736138']  
8  ajax  story: [0, '0.001855288']  ask_hn: [0, '0.001697793']  show_hn: [1, '0.004709576']  poll: [0, '0.001912046']  
9  announcement  story: [1, '0.005565863']  ask_hn: [0, '0.001697793']  show_hn: [0, '0.001569859']  poll: [0, '0.001912046']  
10  anyone  story: [0, '0.001855288']  ask_hn: [2, '0.008488964']  show_hn: [0, '0.001569859']  poll: [0, '0.001912046']  
11  app  story: [0, '0.001855288']  ask_hn: [0, '0.001697793']  show_hn: [3, '0.010989011']  poll: [0, '0.001912046']  
12  apple  story: [1, '0.005565863']  ask_hn: [1, '0.005093379']  show_hn: [0, '0.001569859']  poll: [0, '0.001912046']  
13  applicant  story: [0, '0.001855288']  ask_hn: [1, '0.005093379']  show_hn: [0, '0.001569859']  poll: [0, '0.001912046']  
14  aproaches  story: [0, '0.001855288']  ask_hn: [1, '0.005093379']  show_hn: [0, '0.001569859']  poll: [0, '0.001912046']  
15  arc  story: [0, '0.001855288']  ask_hn: [1, '0.005093379']  show_hn: [0, '0.001569859']  poll: [0, '0.001912046']  
16  around  story: [0, '0.001855288']  ask_hn: [1, '0.005093379']  show_hn: [0, '0.001569859']  poll: [0, '0.001912046']  
17  article  story: [0, '0.001855288']  ask_hn: [0, '0.001697793']  show_hn: [0, '0.001569859']  poll: [1, '0.005736138']  
18  ask  story: [0, '0.001855288']  ask_hn: [25, '0.086587436']  show_hn: [0, '0.001569859']  poll: [1, '0.005736138']  
19  asking  story: [0, '0.001855288']  ask_hn: [0, '0.001697793']  show_hn: [0, '0.001569859']  poll: [1, '0.005736138']  
20  assemble  story: [0, '0.001855288']  ask_hn: [0, '0.001697793']  show_hn: [0, '0.001569859']  poll: [1, '0.005736138']  
21  autoposting  story: [0, '0.001855288']  ask_hn: [1, '0.005093379']  show_hn: [0, '0.001569859']  poll: [0, '0.001912046']  
22  ban  story: [0, '0.001855288']  ask_hn: [0, '0.001697793']  show_hn: [0, '0.001569859']  poll: [1, '0.005736138']  
23  bare  story: [0, '0.001855288']  ask_hn: [0, '0.001697793']  show_hn: [0, '0.001569859']  poll: [1, '0.005736138']  
24  bbc  story: [1, '0.005565863']  ask_hn: [0, '0.001697793']  show_hn: [0, '0.001569859']  poll: [0, '0.001912046']  
25  beautiful  story: [1, '0.005565863']  ask_hn: [0, '0.001697793']  show_hn: [0, '0.001569859']  poll: [0, '0.001912046']  
26  becoming  story: [0, '0.001855288']  ask_hn: [1, '0.005093379']  show_hn: [0, '0.001569859']  poll: [0, '0.001912046']  
27  best  story: [1, '0.005565863']  ask_hn: [0, '0.001697793']  show_hn: [0, '0.001569859']  poll: [0, '0.001912046']  
28  better  story: [0, '0.001855288']  ask_hn: [0, '0.001697793']  show_hn: [1, '0.004709576']  poll: [0, '0.001912046']  
29  bike  story: [0, '0.001855288']  ask_hn: [0, '0.001697793']  show_hn: [1, '0.004709576']  poll: [0, '0.001912046']  
30  blender  story: [0, '0.001855288']  ask_hn: [0, '0.001697793']  show_hn: [1, '0.004709576']  poll: [0, '0.001912046']  
