1  aardvark  story: [0, '0.001901141']  ask_hn: [0, '0.001760563']  show_hn: [1, '0.004823151']  poll: [0, '0.002008032']  
2  acceptable  story: [0, '0.001901141']  ask_hn: [1, '0.005281690']  show_hn: [0, '0.001607717']  poll: [0, '0.002008032']  
3  accused  story: [0, '0.001901141']  ask_hn: [1, '0.005281690']  show_hn: [0, '0.001607717']  poll: [0, '0.002008032']  
4  acquires  story: [1, '0.005703422']  ask_hn: [0, '0.001760563']  show_hn: [0, '0.001607717']  poll: [0, '0.002008032']  
5  acquisition  story: [1, '0.005703422']  ask_hn: [0, '0.001760563']  show_hn: [0, '0.001607717']  poll: [0, '0.002008032']  
6  advice  story: [0, '0.001901141']  ask_hn: [0, '0.001760563']  show_hn: [0, '0.001607717']  poll: [1, '0.006024096']  
7  age  story: [0, '0.001901141']  ask_hn: [0, '0.001760563']  show_hn: [0, '0.001607717']  poll: [1, '0.006024096']  
8  ajax  story: [0, '0.001901141']  ask_hn: [0, '0.001760563']  show_hn: [1, '0.004823151']  poll: [0, '0.002008032']  
9  announcement  story: [1, '0.005703422']  ask_hn: [0, '0.001760563']  show_hn: [0, '0.001607717']  poll: [0, '0.002008032']  
10  anyone  story: [0, '0.001901141']  ask_hn: [2, '0.008802817']  show_hn: [0, '0.001607717']  poll: [0, '0.002008032']  
11  app  story: [0, '0.001901141']  ask_hn: [0, '0.001760563']  show_hn: [3, '0.011254019']  poll: [0, '0.002008032']  
12  apple  story: [1, '0.005703422']  ask_hn: [1, '0.005281690']  show_hn: [0, '0.001607717']  poll: [0, '0.002008032']  
13  applicant  story: [0, '0.001901141']  ask_hn: [1, '0.005281690']  show_hn: [0, '0.001607717']  poll: [0, '0.002008032']  
14  aproaches  story: [0, '0.001901141']  ask_hn: [1, '0.005281690']  show_hn: [0, '0.001607717']  poll: [0, '0.002008032']  
15  around  story: [0, '0.001901141']  ask_hn: [1, '0.005281690']  show_hn: [0, '0.001607717']  poll: [0, '0.002008032']  
16  article  story: [0, '0.001901141']  ask_hn: [0, '0.001760563']  show_hn: [0, '0.001607717']  poll: [1, '0.006024096']  
17  ask  story: [0, '0.001901141']  ask_hn: [25, '0.089788732']  show_hn: [0, '0.001607717']  poll: [1, '0.006024096']  
18  asking  story: [0, '0.001901141']  ask_hn: [0, '0.001760563']  show_hn: [0, '0.001607717']  poll: [1, '0.006024096']  
19  assemble  story: [0, '0.001901141']  ask_hn: [0, '0.001760563']  show_hn: [0, '0.001607717']  poll: [1, '0.006024096']  
20  autoposting  story: [0, '0.001901141']  ask_hn: [1, '0.005281690']  show_hn: [0, '0.001607717']  poll: [0, '0.002008032']  
21  ban  story: [0, '0.001901141']  ask_hn: [0, '0.001760563']  show_hn: [0, '0.001607717']  poll: [1, '0.006024096']  
22  bare  story: [0, '0.001901141']  ask_hn: [0, '0.001760563']  show_hn: [0, '0.001607717']  poll: [1, '0.006024096']  
23  bbc  story: [1, '0.005703422']  ask_hn: [0, '0.001760563']  show_hn: [0, '0.001607717']  poll: [0, '0.002008032']  
24  beautiful  story: [1, '0.005703422']  ask_hn: [0, '0.001760563']  show_hn: [0, '0.001607717']  poll: [0, '0.002008032']  
25  becoming  story: [0, '0.001901141']  ask_hn: [1, '0.005281690']  show_hn: [0, '0.001607717']  poll: [0, '0.002008032']  
26  best  story: [1, '0.005703422']  ask_hn: [0, '0.001760563']  show_hn: [0, '0.001607717']  poll: [0, '0.002008032']  
27  better  story: [0, '0.001901141']  ask_hn: [0, '0.001760563']  show_hn: [1, '0.004823151']  poll: [0, '0.002008032']  
28  bike  story: [0, '0.001901141']  ask_hn: [0, '0.001760563']  show_hn: [1, '0.004823151']  poll: [0, '0.002008032']  
29  blender  story: [0, '0.001901141']  ask_hn: [0, '0.001760563']  show_hn: [1, '0.004823151']  poll: [0, '0.002008032']  
30  blog  story: [0, '0.001901141']  ask_hn: [0, '0.001760563']  show_hn: [0, '0.001607717']  poll: [1, '0.006024096']  
31  bloggers  story: [0, '0.001901141']  ask_hn: [1, '0.005281690']  show_hn: [0, '0.001607717']  poll: [0, '0.002008032']  
32  boom  story: [1, '0.005703422']  ask_hn: [0, '0.001760563']  show_hn: [0, '0.001607717']  poll: [0, '0.002008032']  
33  broadcast  story: [1, '0.005703422']  ask_hn: [0, '0.001760563']  show_hn: [0, '0.001607717']  poll: [0, '0.002008032']  
34  browser  story: [0, '0.001901141']  ask_hn: [0, '0.001760563']  show_hn: [0, '0.001607717']  poll: [1, '0.006024096']  
35  bubble  story: [1, '0.005703422']  ask_hn: [0, '0.001760563']  show_hn: [0, '0.001607717']  poll: [0, '0.002008032']  
36  build  story: [0, '0.001901141']  ask_hn: [0, '0.001760563']  show_hn: [0, '0.001607717']  poll: [1, '0.006024096']  
37  building  story: [1, '0.005703422']  ask_hn: [0, '0.001760563']  show_hn: [0, '0.001607717']  poll: [0, '0.002008032']  
38  built  story: [0, '0.001901141']  ask_hn: [0, '0.001760563']  show_hn: [1, '0.004823151']  poll: [0, '0.002008032']  
39  bullshit  story: [0, '0.001901141']  ask_hn: [1, '0.005281690']  show_hn: [0, '0.001607717']  poll: [0, '0.002008032']  
40  business  story: [1, '0.005703422']  ask_hn: [0, '0.001760563']  show_hn: [0, '0.001607717']  poll: [0, '0.002008032']  
41  button  story: [0, '0.001901141']  ask_hn: [0, '0.001760563']  show_hn: [0, '0.001607717']  poll: [1, '0.006024096']  
42  buy  story: [1, '0.005703422']  ask_hn: [0, '0.001760563']  show_hn: [0, '0.001607717']  poll: [0, '0.002008032']  
43  c  story: [0, '0.001901141']  ask_hn: [0, '0.001760563']  show_hn: [1, '0.004823151']  poll: [0, '0.002008032']  
44  cable  story: [2, '0.009505703']  ask_hn: [0, '0.001760563']  show_hn: [0, '0.001607717']  poll: [0, '0.002008032']  
45  capital  story: [1, '0.005703422']  ask_hn: [0, '0.001760563']  show_hn: [0, '0.001607717']  poll: [0, '0.002008032']  
46  changing  story: [0, '0.001901141']  ask_hn: [0, '0.001760563']  show_hn: [0, '0.001607717']  poll: [1, '0.006024096']  
47  check  story: [0, '0.001901141']  ask_hn: [0, '0.001760563']  show_hn: [1, '0.004823151']  poll: [0, '0.002008032']  
48  checkout  story: [0, '0.001901141']  ask_hn: [0, '0.001760563']  show_hn: [1, '0.004823151']  poll: [0, '0.002008032']  
49  choosing  story: [0, '0.001901141']  ask_hn: [1, '0.005281690']  show_hn: [0, '0.001607717']  poll: [0, '0.002008032']  
50  clone  story: [0, '0.001901141']  ask_hn: [0, '0.001760563']  show_hn: [2, '0.008038585']  poll: [0, '0.002008032']  
51  code  story: [0, '0.001901141']  ask_hn: [0, '0.001760563']  show_hn: [2, '0.008038585']  poll: [0, '0.002008032']  
52  combinator  story: [1, '0.005703422']  ask_hn: [0, '0.001760563']  show_hn: [0, '0.001607717']  poll: [0, '0.002008032']  
53  come  story: [1, '0.005703422']  ask_hn: [0, '0.001760563']  show_hn: [0, '0.001607717']  poll: [1, '0.006024096']  
54  comments  story: [0, '0.001901141']  ask_hn: [0, '0.001760563']  show_hn: [1, '0.004823151']  poll: [0, '0.002008032']  
55  companies  story: [1, '0.005703422']  ask_hn: [0, '0.001760563']  show_hn: [0, '0.001607717']  poll: [0, '0.002008032']  
56  company  story: [1, '0.005703422']  ask_hn: [0, '0.001760563']  show_hn: [1, '0.004823151']  poll: [0, '0.002008032']  
57  consulting  story: [0, '0.001901141']  ask_hn: [1, '0.005281690']  show_hn: [0, '0.001607717']  poll: [0, '0.002008032']  
58  contribute  story: [1, '0.005703422']  ask_hn: [0, '0.001760563']  show_hn: [0, '0.001607717']  poll: [0, '0.002008032']  
59  cool  story: [1, '0.005703422']  ask_hn: [0, '0.001760563']  show_hn: [0, '0.001607717']  poll: [0, '0.002008032']  
60  cost  story: [0, '0.001901141']  ask_hn: [0, '0.001760563']  show_hn: [0, '0.001607717']  poll: [1, '0.006024096']  
61  coworking  story: [0, '0.001901141']  ask_hn: [1, '0.005281690']  show_hn: [0, '0.001607717']  poll: [0, '0.002008032']  
62  cracking  story: [0, '0.001901141']  ask_hn: [0, '0.001760563']  show_hn: [1, '0.004823151']  poll: [0, '0.002008032']  
63  creating  story: [0, '0.001901141']  ask_hn: [0, '0.001760563']  show_hn: [0, '0.001607717']  poll: [1, '0.006024096']  
64  crowd-sourcing  story: [0, '0.001901141']  ask_hn: [0, '0.001760563']  show_hn: [1, '0.004823151']  poll: [0, '0.002008032']  
65  data-mining  story: [0, '0.001901141']  ask_hn: [1, '0.005281690']  show_hn: [0, '0.001607717']  poll: [0, '0.002008032']  
66  days  story: [1, '0.005703422']  ask_hn: [0, '0.001760563']  show_hn: [0, '0.001607717']  poll: [0, '0.002008032']  
67  dead  story: [1, '0.005703422']  ask_hn: [0, '0.001760563']  show_hn: [0, '0.001607717']  poll: [0, '0.002008032']  
68  deal  story: [1, '0.005703422']  ask_hn: [0, '0.001760563']  show_hn: [0, '0.001607717']  poll: [0, '0.002008032']  
69  demo  story: [0, '0.001901141']  ask_hn: [0, '0.001760563']  show_hn: [1, '0.004823151']  poll: [0, '0.002008032']  
70  desktop  story: [1, '0.005703422']  ask_hn: [0, '0.001760563']  show_hn: [0, '0.001607717']  poll: [0, '0.002008032']  
71  details  story: [0, '0.001901141']  ask_hn: [0, '0.001760563']  show_hn: [0, '0.001607717']  poll: [1, '0.006024096']  
72  developer  story: [1, '0.005703422']  ask_hn: [0, '0.001760563']  show_hn: [0, '0.001607717']  poll: [0, '0.002008032']  
