1  aardvark  story: [0, '0.002070393']  ask_hn: [0, '0.001848429']  show_hn: [1, '0.005025126']  poll: [0, '0.002061856']  
2  accused  story: [0, '0.002070393']  ask_hn: [1, '0.005545287']  show_hn: [0, '0.001675042']  poll: [0, '0.002061856']  
3  acquires  story: [1, '0.006211180']  ask_hn: [0, '0.001848429']  show_hn: [0, '0.001675042']  poll: [0, '0.002061856']  
4  advice  story: [0, '0.002070393']  ask_hn: [0, '0.001848429']  show_hn: [0, '0.001675042']  poll: [1, '0.006185567']  
5  age  story: [0, '0.002070393']  ask_hn: [0, '0.001848429']  show_hn: [0, '0.001675042']  poll: [1, '0.006185567']  
6  ajax  story: [0, '0.002070393']  ask_hn: [0, '0.001848429']  show_hn: [1, '0.005025126']  poll: [0, '0.002061856']  
7  anyone  story: [0, '0.002070393']  ask_hn: [2, '0.009242144']  show_hn: [0, '0.001675042']  poll: [0, '0.002061856']  
8  app  story: [0, '0.002070393']  ask_hn: [0, '0.001848429']  show_hn: [3, '0.011725293']  poll: [0, '0.002061856']  
9  apple  story: [1, '0.006211180']  ask_hn: [1, '0.005545287']  show_hn: [0, '0.001675042']  poll: [0, '0.002061856']  
10  applicant  story: [0, '0.002070393']  ask_hn: [1, '0.005545287']  show_hn: [0, '0.001675042']  poll: [0, '0.002061856']  
11  aproaches  story: [0, '0.002070393']  ask_hn: [1, '0.005545287']  show_hn: [0, '0.001675042']  poll: [0, '0.002061856']  
12  arc  story: [0, '0.002070393']  ask_hn: [1, '0.005545287']  show_hn: [0, '0.001675042']  poll: [0, '0.002061856']  
13  around  story: [0, '0.002070393']  ask_hn: [1, '0.005545287']  show_hn: [0, '0.001675042']  poll: [0, '0.002061856']  
14  article  story: [0, '0.002070393']  ask_hn: [0, '0.001848429']  show_hn: [0, '0.001675042']  poll: [1, '0.006185567']  
15  ask  story: [0, '0.002070393']  ask_hn: [25, '0.094269871']  show_hn: [0, '0.001675042']  poll: [1, '0.006185567']  
16  asking  story: [0, '0.002070393']  ask_hn: [0, '0.001848429']  show_hn: [0, '0.001675042']  poll: [1, '0.006185567']  
17  assemble  story: [0, '0.002070393']  ask_hn: [0, '0.001848429']  show_hn: [0, '0.001675042']  poll: [1, '0.006185567']  
18  ban  story: [0, '0.002070393']  ask_hn: [0, '0.001848429']  show_hn: [0, '0.001675042']  poll: [1, '0.006185567']  
